ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
AAPL,Apple Inc.,154.3,0.42303938,0.65,買い,57865721,2550604524342.22,29.86819686,5.1589,147000,電子テクノロジー,149.79890135,131.29739151
MSFT,Microsoft Corporation,301.14,-0.0033206,-0.01,買い,14751609,2263034209176.5166,37.47067076,8.1198,181000,テクノロジーサービス,297.34506076,254.399018
GOOG,Alphabet Inc.,2895.5,0.38552479,11.12,買い,955487,1926277901804.797,31.62239253,93.4177,135301,テクノロジーサービス,2827.81905097,2310.34241919
GOOGL,Alphabet Inc.,2874.79,0.31579976,9.05,買い,992708,1920751298753.7527,31.4865508,93.4177,135301,テクノロジーサービス,2805.72889505,2277.44849246
AMZN,"Amazon.com, Inc.",3478.05,0.43111414,14.93,買い,2577631,1761425454899.8218,60.63236119,58.5105,1298000,小売業,3381.9793742,3265.8064057
FB,"Facebook, Inc.",376.26,0.26113835,0.98,買い,7511356,1060844151364.1462,28.2916173,13.6929,58604,テクノロジーサービス,368.3948438,315.52929611
TSLA,"Tesla, Inc.",733.57,0.16111635,1.18,買い,15270088,726245475184.335,382.51784691,2.2333,70757,耐久消費財,710.19129808,627.05246202
BRK.B,Berkshire Hathaway Inc. New,281.89,-1.10857744,-3.16,売り,4497446,638532679879.8577,6.2800369,45.4233,360000,金融,285.01902753,263.04723251
BRK.A,Berkshire Hathaway Inc.,424201,-1.03560097,-4439,売り,1375,637452120063.2998,6.31100022,68135,360000,金融,428743.68481489,395798.27388782
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,123.97,2.63266827,3.18,強い買い,10369587,573496912552.649,32.07903917,3.7551,56831,電子テクノロジー,117.33196466,111.03406993
NVDA,NVIDIA Corporation,228.43,1.99589212,4.47,買い,28080454,569247569289.4799,80.109235,2.8509,18975,電子テクノロジー,214.61937194,164.47459807
V,Visa Inc.,225.11,0.41484521,0.93,売り,11534322,478767761450.658,47.83105735,4.9551,20500,金融,232.17379665,223.71648134
JPM,JP Morgan Chase & Co.,159.49,-0.60451203,-0.97,買い,7961220,476580888202.8569,10.65204778,15.0202,255351,金融,158.5419964,145.97618452
BABA,Alibaba Group Holding Limited,170.3,-0.98837209,-1.7,売り,16440148,460800684339.1859,21.4140066,8.2286,251462,小売業,174.70468134,218.55308731
JNJ,Johnson & Johnson,175.04,0.0628823,0.11,買い,4097510,460789652224.8712,26.12199486,6.7499,134500,健康テクノロジー,174.53288101,164.19674314
WMT,Walmart Inc.,149.25,0.4644588,0.69,買い,5737903,418220286462.2311,41.65750529,3.5701,2300000,小売業,147.85978651,140.68069672
UNH,UnitedHealth Group Incorporated,422.86,-0.20060891,-0.85,買い,1604878,398722040003.7604,27.56259122,15.3413,330000,健康サービス,418.82401221,381.80112846
PG,Procter & Gamble Company (The),144.05,0.06946857,0.1,買い,5466412,349798863909.5214,26.18081214,5.6923,101000,非耐久消費財,143.00702232,136.08398382
HD,"Home Depot, Inc. (The)",330.34,0.79331177,2.6,強い買い,2775239,348627230093.1806,22.76573744,14.2724,504800,小売業,326.61942519,303.78615978
ASML,ASML Holding N.V. - New York Registry Shares,858.105,-0.36863738,-3.175,買い,698291,347403933059.7288,61.46059872,13.7249,28073,製造加工,811.7389934,633.23868632
BAC,Bank of America Corporation,41.05,0.07313506,0.03,買い,41818455,345431809869.716,13.75429926,3.0141,213000,金融,41.04621763,37.13219607
PYPL,"PayPal Holdings, Inc.",289.13,1.26081322,3.6,買い,5287711,339737032371.6903,70.04494602,4.1519,26500,テクノロジーサービス,281.79420423,255.36073054
MA,Mastercard Incorporated,340.23,-0.30766526,-1.05,売り,5172680,335730472220.4821,48.55948214,7.2296,21000,金融,356.53095119,357.17858431
DIS,Walt Disney Company (The),181,-0.47289124,-0.86,買い,6848827,328899904572.3949,300.24545901,0.6177,203000,消費者サービス,178.97870008,171.48567246
ADBE,Adobe Inc.,666.59,0.29339191,1.95,買い,1641621,317563478917.0633,57.65880438,11.6542,22516,テクノロジーサービス,649.26862084,537.58811695
CMCSA,Comcast Corporation,61.72,-0.048583,-0.03,買い,8081434,283278586028.8047,22.83558676,2.7166,168000,消費者サービス,59.82319993,54.64515079
PFE,"Pfizer, Inc.",46.84,0,0,買い,20834759,262617293464.44308,19.71312353,2.3688,78500,健康テクノロジー,46.77057295,39.95140124
NFLX,"Netflix, Inc.",590.53,0.33642002,1.98,買い,2683373,261366151984.62756,60.34752677,9.919,9400,テクノロジーサービス,553.00481655,514.69081071
CRM,Salesforce.com Inc,267.08,1.10921825,2.93,買い,7357515,259475986486.72705,107.42683269,2.5607,56606,テクノロジーサービス,258.7747029,234.21992687
NKE,"Nike, Inc.",163.29,-0.2321745,-0.38,中立,4254656,258502238429.00003,46.21692973,3.6412,73300,非耐久消費財,166.85807285,143.55906866
ORCL,Oracle Corporation,90,0.22271715,0.2,買い,8457134,251279991474.2635,19.66722057,4.7007,132000,テクノロジーサービス,89.21461502,76.23095097
CSCO,"Cisco Systems, Inc.",59.42,-0.18478078,-0.11,買い,9735950,250408040611.976,23.62639561,2.5089,,テクノロジーサービス,57.9674183,51.33675109
LLY,Eli Lilly and Company,259.53,-0.0154101,-0.04,中立,1124526,248261427715.15817,38.660839,6.6871,35000,健康テクノロジー,260.53427565,210.56796851
TM,Toyota Motor Corporation,179.27,1.71924648,3.03,強い買い,279465,245127746702.4378,8.87323376,20.0236,366283,耐久消費財,175.58580531,162.2791138
KO,Coca-Cola Company (The),56.73,-0.07045975,-0.04,買い,13220668,245073594062.8137,30.38700686,1.8765,80300,非耐久消費財,56.44911722,53.78068608
DHR,Danaher Corporation,332.43,0.30172284,1,買い,1333823,237321627217.7577,43.66486285,7.6411,69000,健康テクノロジー,318.71015592,257.57318739
XOM,Exxon Mobil Corporation,54.87,-0.38126362,-0.21,売り,13847890,232295603144.7584,,-3.1214,72000,エネルギー鉱物,55.48015498,54.88507813
VZ,Verizon Communications Inc.,55.43,0.25321035,0.14,中立,11008646,229486635835.64783,11.38511273,4.8279,132200,通信,55.28267866,56.76528555
NVO,Novo Nordisk A/S,100.89,-0.77694729,-0.79,中立,989231,228761886255.7017,32.84462255,3.0772,45323,健康テクノロジー,101.07362879,81.60032146
ABT,Abbott Laboratories,128.94,0.35022181,0.45,買い,2463389,228587076077.22528,35.8056266,3.5827,109000,健康テクノロジー,125.21798347,115.96710944
TMO,Thermo Fisher Scientific Inc,568.11,0.46686827,2.64,買い,825548,223505208027.42688,26.01470888,21.7564,80000,健康テクノロジー,551.48991558,486.00831364
ACN,Accenture plc,343.33,0.68328446,2.33,買い,1566079,217718113805.7794,37.77740511,9.0955,506000,テクノロジーサービス,331.51294851,284.19799666
PEP,"PepsiCo, Inc.",157.09,0.08920038,0.14,買い,2035078,217116448850.72644,26.7096294,5.9406,291000,非耐久消費財,156.27381679,146.55559407
INTC,Intel Corporation,53.51,-0.40945468,-0.22,売り,13472750,217090062593.1472,11.93409232,4.5302,110600,電子テクノロジー,53.63865021,55.86896329
NVS,Novartis AG,91.4,-0.8138904,-0.75,売り,1743798,205937236929.498,23.43137503,3.9811,105794,健康テクノロジー,92.35812147,90.06227589
COST,Costco Wholesale Corporation,462.55,0.34275549,1.58,買い,1303809,204479053489.37943,42.91771253,10.6687,273000,小売業,450.11290927,388.22996534
AVGO,Broadcom Inc.,497.68,1.17503558,5.78,強い買い,2520250,204178476559.81815,45.92233914,11.2785,21000,電子テクノロジー,487.63135585,449.49527591
ABBV,AbbVie Inc.,111.62,-0.35707909,-0.4,売り,5366511,197252127554.22443,30.24026289,3.7247,47000,健康テクノロジー,116.80743538,109.85837935
T,AT&T Inc.,27.56,-0.2894356,-0.08,売り,27047946,196778403864.88705,,-0.3044,230000,通信,27.60967151,29.16105224
MRK,"Merck & Company, Inc.",77.26,0.18153527,0.14,買い,6630366,195574014421.2817,34.77586049,2.2013,74000,健康テクノロジー,76.95557619,75.77621295
SHOP,Shopify Inc.,1554.25,0.75521846,11.65,強い買い,602076,193913577062.12955,79.54588918,19.8686,7000,テクノロジーサービス,1522.79450134,1276.47842463
MS,Morgan Stanley,104.25,-0.55327673,-0.58,買い,7195389,190210496189.12857,13.88522823,7.6223,68000,金融,102.4925191,83.30961782
CVX,Chevron Corporation,97.49,-0.22515607,-0.22,売り,9099425,188537077838.46683,51.38516053,1.8674,47736,エネルギー鉱物,98.33948962,99.2159552
SE,Sea Limited,353.36,4.2359882,14.36,強い買い,2904272,182932266080,,-3.566,33800,小売業,320.4801855,246.28550777
AZN,AstraZeneca PLC,58.83,-1.27538178,-0.76,買い,5330751,181870096853.9416,40.72404466,1.4465,76100,健康テクノロジー,58.55946933,55.10706285
WFC,Wells Fargo & Company,44.17,-0.89746466,-0.4,売り,21715844,181380161353.98068,12.48383853,3.5015,268531,金融,46.97076245,41.19662001
MDT,Medtronic plc.,134.63,-0.07422252,-0.1,買い,2298419,181139206331.97653,46.90930704,2.8847,90000,健康テクノロジー,131.80510784,122.03514012
SAP,SAP SE,149.83,0.57054638,0.85,買い,479165,178451416829.51038,25.38042743,5.9144,102430,テクノロジーサービス,148.06351412,139.13378203
MCD,McDonald's Corporation,238.82,-0.43773711,-1.05,買い,1339289,178350506137.91266,25.93774506,9.2488,200000,消費者サービス,238.09790235,227.05944385
TXN,Texas Instruments Incorporated,189.88,0.24813896,0.47,強い買い,2103441,175299124652.3878,26.26111932,7.2741,30000,電子テクノロジー,188.91864078,177.49539884
UPS,"United Parcel Service, Inc.",197.34,-0.42888138,-0.85,買い,1493102,171891475197.48456,27.99236054,7.062,543000,交通,195.53583783,184.6441505
TMUS,"T-Mobile US, Inc.",136,-0.09549695,-0.13,売り,2448839,169723441339.04456,44.05424423,3.15,75000,通信,139.82686478,133.29124641
MRNA,"Moderna, Inc.",416.7,4.78800986,19.04,買い,13859921,168199414792.635,48.67678634,8.6891,1300,健康テクノロジー,387.40732454,221.01653013
NEE,"NextEra Energy, Inc.",85.69,-0.91350601,-0.79,買い,4621543,168102946517.83783,53.48793482,1.6044,13800,施設サービス事業,83.59095312,76.23266143
PM,Philip Morris International Inc,106.1,0.43544112,0.46,強い買い,2961352,165361197859.35977,18.24331466,5.6812,71000,非耐久消費財,102.20151751,92.8247631
QCOM,QUALCOMM Incorporated,144.63,-0.3376516,-0.49,中立,5506586,163142636600.77527,18.29893043,8.1349,41000,電子テクノロジー,144.88160331,136.08717935
BBL,BHP Group PlcSponsored,59.59,1.79364537,1.05,売り,2721838,162882587943.7252,13.90869546,4.4695,,非エネルギー鉱物,61.99131687,58.31560918
BHP,BHP Group Limited,63.01,1.82611506,1.13,売り,3366764,162882583864.4203,14.63742769,4.4695,,非エネルギー鉱物,67.90616418,69.46282138
LIN,Linde plc,313.43,-0.67813797,-2.14,買い,1150830,161858801266.2217,50.294834,6.2961,74207,素材産業,310.81557148,280.21017675
HON,Honeywell International Inc.,228.36,-1.13001689,-2.61,売り,1622427,157659570475.21823,32.62628844,7.1261,103000,製造加工,230.2511863,214.44586843
BX,Blackstone Inc.,129,0.52992519,0.68,買い,2768062,155136235366.04456,19.68660749,6.4815,3165,金融,120.00663785,89.04200811
INTU,Intuit Inc.,563.25,0.61808893,3.46,買い,762599,153913289298.5656,75.13609436,7.5815,,テクノロジーサービス,550.15346113,443.56724164
RDS.A,Royal Dutch Shell PLC Royal Dutch Shell,40.15,-0.39692384,-0.16,買い,3185750,152627120980.9636,28.07117034,1.4258,87000,エネルギー鉱物,39.90438938,39.06724719
RDS.B,Royal Dutch Shell PLC,39.77,-0.25081515,-0.1,買い,1724034,152627120980.9636,27.78762317,1.4258,87000,エネルギー鉱物,39.32079932,37.58146362
CHTR,"Charter Communications, Inc.",811.33,-1.17903558,-9.68,買い,817427,149140470506.35522,43.4907831,20.0437,96100,消費者サービス,793.53701698,683.66412917
RY,Royal Bank Of Canada,103.38,0.06775724,0.07,中立,451613,147251250145.4146,12.06938333,8.51435895,86000,金融,103.38215222,94.29213738
BMY,Bristol-Myers Squibb Company,65.61,-0.77132486,-0.51,売り,7772463,145792862992.4086,,-2.2455,30250,健康テクノロジー,67.22303261,64.74129847
UL,Unilever PLC,55.15,0.5286183,0.29,強い売り,2240662,144321529177.142,22.76310443,2.4701,,非耐久消費財,56.16932524,57.97503284
C,"Citigroup, Inc.",71.17,-0.46153846,-0.33,中立,13684986,144246294631.83957,7.17159121,10.0032,210000,金融,71.39922836,67.74921726
BLK,"BlackRock, Inc.",937.28,-1.40848033,-13.39,買い,418780,142650081263.16693,26.5230477,35.993,16500,金融,926.5604109,803.82523327
LOW,"Lowe's Companies, Inc.",205.98,-0.08246423,-0.17,買い,2260908,142627277924.8922,20.9680578,9.7271,340000,小売業,201.29946084,183.3725673
UNP,Union Pacific Corporation,214.91,-1.20443157,-2.62,売り,4355510,140147733038.36636,24.68255052,8.8114,30960,交通,220.21105228,213.48191484
GS,"Goldman Sachs Group, Inc. (The)",411.31,-0.76960193,-3.19,買い,1374128,139747582059.1237,7.56496772,55.3985,40500,金融,405.76426043,337.85263474
SBUX,Starbucks Corporation,117.19,-0.15336117,-0.18,買い,2922138,138178722548.31384,49.18753664,2.4028,349000,消費者サービス,116.67949499,108.93644921
SCHW,Charles Schwab Corporation (The),72.09,-1.12467426,-0.82,中立,3349226,136106098681.76189,30.96315723,2.3751,32000,金融,72.70680547,64.27574298
NOW,"ServiceNow, Inc.",678.63,2.77445442,18.32,強い買い,1145953,134436602099.12218,772.06405694,0.867,13096,テクノロジーサービス,621.5349951,530.23228937
PDD,Pinduoduo Inc.,102.23,-0.51576489,-0.53,中立,6570836,133888844906.00002,,-0.3275,7986,小売業,94.785344,116.12002291
AMD,"Advanced Micro Devices, Inc.",109.92,0.65934066,0.72,買い,42623777,133329133288.95209,39.27092259,2.8488,12600,電子テクノロジー,107.5967331,87.96775253
PTR,PetroChina Company Limited,45.54,2.13052254,0.95,買い,184292,132757124271.96748,8.5005698,5.1773,432003,エネルギー鉱物,42.46349961,39.71902561
SNY,Sanofi,52.13,-0.89353612,-0.47,買い,1724282,131128086070.76659,19.12964312,2.7689,99412,健康テクノロジー,51.99964237,50.90188277
SONY,Sony Group Corporation,108.25,2.68450009,2.83,強い買い,695949,128870830434.46439,12.09483794,8.7855,109700,耐久消費財,102.90655892,97.88845029
AMGN,Amgen Inc.,226.37,0.18144804,0.41,中立,1664374,128544741330.85529,22.72010579,9.8968,24300,健康テクノロジー,227.27967985,237.71162178
BA,Boeing Company (The),218.17,-1.20454648,-2.66,強い売り,6400289,127880747445.11742,,-15.3606,141000,電子テクノロジー,221.84167679,225.92450153
ISRG,"Intuitive Surgical, Inc.",1071.77,0.02239788,0.24,買い,337721,127530706664.00217,79.3884747,13.752,8081,健康テクノロジー,1038.53438361,858.10922138
AXP,American Express Company,159.3,-1.6970071,-2.75,売り,4207480,126553185856.99222,19.11359595,8.614,63700,金融,164.6941202,148.41574417
RTX,Raytheon Technologies Corporation,83.65,-1.05275609,-0.89,売り,3300713,126134006952.0892,58.29751837,1.4473,181000,電子テクノロジー,85.25517256,80.09874883
IBM,International Business Machines Corporation,139.58,-0.30712092,-0.43,売り,1924170,125108357882.6392,23.50340825,5.9731,375300,テクノロジーサービス,140.28653649,136.22061384
SQ,"Square, Inc.",269.74,1.42889374,3.8,買い,4908476,123998924817.30853,237.74705309,1.265,5477,テクノロジーサービス,266.06063152,227.15702794
EL,"Estee Lauder Companies, Inc. (The)",341.83,-0.64814277,-2.23,買い,739056,123498816644.1894,44.17118885,7.9086,62000,非耐久消費財,335.40507203,293.10446241
BUD,Anheuser-Busch Inbev SA Sponsored,59.87,-0.87748344,-0.53,強い売り,1271732,123064621355.303,21.4948756,2.9224,163695,非耐久消費財,61.58678193,66.4560145
JD,"JD.com, Inc.",79.855,-0.47981057,-0.385,買い,8507041,122767422652.1497,23.79031071,3.5103,314906,小売業,74.26624733,75.46551394
AMAT,"Applied Materials, Inc.",135.83,1.02640387,1.38,強い買い,4838166,122644788105.62125,23.19550898,5.8111,24000,製造加工,134.0634418,118.66967942
RIO,Rio Tinto Plc,75.87,0.7837407,0.59,売り,2050839,121575121278.06223,6.4678507,11.6592,47474,非エネルギー鉱物,77.16355672,79.01839606
DE,Deere & Company,389.34,1.14040785,4.39,強い買い,1904906,120719327033.3086,21.8287701,17.397,69600,製造加工,374.56876282,331.03178657
TD,Toronto Dominion Bank (The),65.83,0.091227,0.06,売り,838911,119725013782.18497,9.580494,6.79937518,,金融,66.67150243,63.97846541
HDB,HDFC Bank Limited,76.64,-2.05750799,-1.61,中立,1167551,119572178345.1317,32.6622758,2.4246,120093,金融,76.61342861,71.52613389
TGT,Target Corporation,244.31,-0.61022741,-1.5,売り,3352122,119232820996.17625,19.62872963,12.6718,409000,小売業,250.91470169,214.0387103
SNAP,Snap Inc.,75.08,1.56926407,1.16,買い,9241093,118709379752.1952,,-0.5016,3863,テクノロジーサービス,73.7613351,58.67143096
TTE,TotalEnergies SE,44.45,-0.47021944,-0.21,中立,1492289,116114022147.7896,17.54812483,2.5203,105476,エネルギー鉱物,44.10610174,44.40117644
CVS,CVS Health Corporation,87.47,0.58647654,0.51,買い,4937188,115423198391.5767,15.73151258,5.4795,300000,小売業,84.77760892,78.07389072
CAT,"Caterpillar, Inc.",210.37,-0.66578525,-1.41,売り,2512966,115171569614.26447,26.07289277,8.0434,97300,製造加工,211.24611835,205.63931502
GE,General Electric Company,104.75,-1.42104273,-1.51,買い,7617739,114980186739.8225,,-1.06,174000,製造加工,104.00965394,97.16360079
DEO,Diageo plc,195.97,-0.04590432,-0.09,買い,318868,114271489627.8452,32.26432791,6.0982,27783,非耐久消費財,195.04963544,179.02538292
MMM,3M Company,194.39,-0.25655498,-0.5,売り,1464566,112481489793.33675,19.03243897,10.2663,94987,製造加工,196.14240715,189.76604472
LFC,China Life Insurance Company Limited,8.7,0.69444444,0.06,買い,479563,112055870915.97618,5.38385462,1.6178,,金融,8.5203888,9.94458646
SPGI,S&P Global Inc.,452.08,0.59635069,2.68,買い,997354,108951278813.92233,44.03891272,10.2308,23000,商業サービス,439.93541631,383.10900454
HSBC,"HSBC Holdings, plc.",26.61,-0.03756574,-0.01,売り,1667419,108907801505.02843,11.7525228,2.2754,235000,金融,27.22009662,28.31854309
SYK,Stryker Corporation,276.65,-0.37093057,-1.03,買い,648305,104323691743.97478,50.6471159,5.5372,43000,健康テクノロジー,270.25705031,248.60283755
ZTS,Zoetis Inc.,209.69,0.22464392,0.47,買い,1003468,99381356982.10577,51.6862372,4.0162,11300,健康テクノロジー,204.86915657,177.9684077
ABNB,"Airbnb, Inc.",158,0.50890585,0.8,強い買い,4460916,99325556520.53133,,-8.1801,5597,消費者サービス,152.41191643,
LMT,Lockheed Martin Corporation,356,-0.57254573,-2.05,強い売り,893683,98582276402.54584,13.98189637,25.6135,114000,電子テクノロジー,360.60642475,369.79727231
INFY,Infosys Limited,24.03,1.39240506,0.33,買い,3781366,97352321016.00227,36.32017273,0.6496,259619,テクノロジーサービス,23.45574819,19.19152438
TEAM,Atlassian Corporation Plc,384.59,2.28457447,8.59,買い,1197543,96884921730.09074,,-2.7905,6433,テクノロジーサービス,349.9525964,255.83075133
MELI,"MercadoLibre, Inc.",1946.01,0.76009796,14.68,買い,228890,96739362741.82999,,-0.0261,15546,小売業,1828.40628026,1526.21534287
VALE,VALE S.A.,19.08,0.05243838,0.01,売り,20577863,96600254765.36095,5.75635069,3.3146,74316,非エネルギー鉱物,19.58747934,18.79598018
BKNG,Booking Holdings Inc. Common Stock,2304.45,0.17344357,3.99,買い,196522,94620354992.20267,227.3662756,10.1276,20300,消費者サービス,2231.31247568,2173.47151094
GSK,GlaxoSmithKline PLC,41.61,0.43446778,0.18,強い買い,3020607,94318500689.8376,17.48766377,2.3767,94066,健康テクノロジー,41.12696094,39.05634427
MO,"Altria Group, Inc.",50.97,-0.13714734,-0.07,買い,4172610,93992653023.97163,20.46754945,2.4471,7100,非耐久消費財,49.16144051,46.75144622
ANTM,"Anthem, Inc.",378.73,-1.09938894,-4.21,買い,636619,92340242022.40083,21.69849559,17.2437,83400,健康サービス,376.29079076,355.78577541
SNOW,Snowflake Inc.,310,1.01339242,3.11,強い買い,3634609,91799654852.53471,,-2.6222,2495,テクノロジーサービス,289.93988723,265.63342473
GILD,"Gilead Sciences, Inc.",71.96,-0.52529721,-0.38,買い,4174383,90224131343.65437,17.54895737,4.112,13600,健康テクノロジー,71.42869445,67.45929732
CNI,Canadian National Railway Company,127.22,2.30800161,2.87,強い買い,6148983,90059041106.15065,26.79971882,4.56214165,24381,交通,112.86859474,107.84736963
BAM,Brookfield Asset Management Inc.,56.87,-0.12293642,-0.07,買い,1094681,89185110337.64131,31.48531918,1.84349511,152000,金融,55.89454811,47.20981214
ZM,"Zoom Video Communications, Inc.",298.29,1.08441492,3.2,売り,6131347,88679263605.12015,87.87311178,3.4479,4422,テクノロジーサービス,332.50704067,346.54484451
ADP,"Automatic Data Processing, Inc.",207.38,0.41156248,0.85,中立,1115879,87738448120.18033,34.08637764,6.0946,56000,テクノロジーサービス,209.25631046,189.6945378
ADI,"Analog Devices, Inc.",162.44,-0.11068749,-0.18,売り,2385601,87297054830.17119,35.26463249,4.6116,15900,電子テクノロジー,165.62291733,154.87689447
LRCX,Lam Research Corporation,610.71,1.42999502,8.61,買い,1030190,86692541994.84032,22.26974845,27.2429,14100,電子テクノロジー,601.33522985,561.73290084
MDLZ,"Mondelez International, Inc.",61.72,-0.32299742,-0.2,売り,5360680,86273298935.97113,20.66302006,3.0371,79000,非耐久消費財,62.44925829,60.29211106
TJX,"TJX Companies, Inc. (The)",71.07,-1.11312091,-0.8,売り,5398657,85464470694.43326,34.96483143,2.0874,320000,小売業,72.04632927,66.68054985
BTI,"British American Tobacco Industries, p.l.c.",37.76,0.02649007,0.01,中立,1385789,85359995970.11542,10.30417938,3.6545,55981,非耐久消費財,37.42776926,37.9466834
USB,U.S. Bancorp,56.15,-0.51381999,-0.29,売り,3921847,83249267659.91187,12.03299057,4.6711,68108,金融,56.79657043,53.5721699
MU,"Micron Technology, Inc.",73.81,-0.24327612,-0.18,売り,9223791,83091870166.28133,20.34553182,3.6956,40000,電子テクノロジー,73.78043651,75.62154757
SHW,Sherwin-Williams Company (The),307.43,-0.41140266,-1.27,買い,786823,82276714678.19255,38.35236889,8.1214,61031,素材産業,302.39240475,265.68976199
PNC,"PNC Financial Services Group, Inc. (The)",191.52,-0.09910803,-0.19,買い,1529201,81394700635.65295,14.36640863,13.1968,51257,金融,189.67183626,172.78865299
DUK,Duke Energy Corporation (Holding Company),105.68,-0.90951711,-0.97,中立,3043747,81291058954.6732,27.6844412,3.8332,27535,施設サービス事業,105.71890059,98.58931872
BP,BP p.l.c.,24.78,-0.24154589,-0.06,中立,6735844,81288706929.8524,9.48682927,2.575,63600,エネルギー鉱物,24.67658043,24.81355751
ENB,Enbridge Inc,40.03,0.52737318,0.21,買い,3838121,81090985598.09433,16.32891254,2.41815392,11200,工業サービス,39.24446873,37.16209841
HCA,"HCA Healthcare, Inc.",252.95,-0.13029059,-0.33,買い,605665,80979896483.29988,17.33088225,14.8123,275000,健康サービス,248.97371306,201.31826466
MMC,"Marsh & McLennan Companies, Inc.",159.5,0.05018191,0.08,買い,1078496,80806839953.94495,32.539993,4.9064,76000,金融,154.72991572,133.00460194
BNTX,BioNTech SE,334.3,1.7563084,5.77,中立,2240776,80636887537,17.4495799,20.2645,1941,健康テクノロジー,346.69722975,204.91034708
CB,Chubb Limited,183.46,0.24041088,0.44,買い,1755433,80491246086.63852,10.11244026,18.1935,31000,金融,181.90719634,162.95397029
FIS,"Fidelity National Information Services, Inc.",125.39,-1.15875769,-1.47,売り,4772128,77452229569.17068,912.42060692,0.1484,62000,テクノロジーサービス,130.84471376,141.02372842
FISV,"Fiserv, Inc.",115.66,-0.14676681,-0.17,買い,2429430,76590594609.98631,70.62966279,1.7025,44000,テクノロジーサービス,115.48892032,112.48975979
UBER,"Uber Technologies, Inc.",40.32,-2.60869565,-1.08,強い売り,15464063,75976865970.71786,,-0.6084,22800,テクノロジーサービス,41.37540355,47.13910998
BNS,Bank Nova Scotia Halifax Pfd 3,62.38,-0.04806922,-0.03,売り,643132,75799622299.96156,10.78859769,5.76240638,92001,金融,62.85655514,59.81575299
SNP,China Petroleum & Chemical Corporation,49.87,2.27645611,1.11,買い,165913,75517178201.01874,5.55375797,0.8547,384065,エネルギー鉱物,46.97013469,49.43627964
EW,Edwards Lifesciences Corporation,121.07,0.38139458,0.46,買い,1280965,75466299339.12617,51.52508736,2.3484,14900,健康テクノロジー,116.69676169,96.97217881
TFC,Truist Financial Corporation,56.45,-0.26501767,-0.15,中立,2580696,75351180218.86339,14.69803922,3.8592,,金融,56.52589358,54.21783194
COP,ConocoPhillips,56.24,-0.6360424,-0.36,買い,7954693,75309982405.22012,47.01884195,1.1689,9700,エネルギー鉱物,55.65083748,52.50161317
ABB,ABB Ltd,37.67,0.42655292,0.16,買い,901962,74598179217.22658,13.57627985,2.7437,105600,製造加工,37.32670348,32.57588097
DELL,Dell Technologies Inc.,97.14,0.07211291,0.07,売り,2549399,74184863767.92621,20.00992741,5.0106,158000,電子テクノロジー,98.22002335,89.06993825
BDX,"Becton, Dickinson and Company",257.83,1.05828401,2.7,強い買い,1381799,74046245897.98264,39.64542571,6.423,72000,健康テクノロジー,250.32189335,247.14277297
CI,Cigna Corporation,216.92,-0.59117364,-1.29,中立,1642695,73776129499.8387,9.28124753,22.8464,73700,健康サービス,213.55868178,223.92311781
REGN,"Regeneron Pharmaceuticals, Inc.",679.57,0.56529782,3.82,買い,564834,72683668005.94226,12.22626197,58.9792,9123,健康テクノロジー,652.30835352,549.70471451
CSX,CSX Corporation,32,-1.78023327,-0.58,売り,9727982,72143877030.11678,22.06101695,1.4785,19300,交通,32.95249904,31.24682624
ITW,Illinois Tool Works Inc.,228.53,-1.12490806,-2.6,売り,695144,71979591857.6981,27.51597207,8.441,43000,製造加工,230.57816603,218.81614327
MCO,Moody's Corporation,385.39,-0.07778268,-0.3,買い,337420,71759614072.57423,34.42494459,11.1826,11490,商業サービス,379.96783956,331.20519997
MUFG,"Mitsubishi UFJ Financial Group, Inc.",5.65,2.72727273,0.15,強い買い,1585296,70875082406.02687,7.82817578,0.7105,138161,金融,5.47511673,5.22776743
GM,General Motors Company,48.82,-0.26557712,-0.13,売り,9937933,70873154593.8538,5.67949207,8.7268,155000,耐久消費財,50.65555814,51.58979052
FDX,FedEx Corporation,266.04,-0.39312591,-1.05,売り,1525486,70817437984.52692,13.67186094,19.7075,289000,交通,270.9506635,271.41543116
WBK,Westpac Banking Corporation,19.34,-0.25786488,-0.05,買い,77225,70526133752.1241,22.58556024,0.9188,36849,金融,18.88876017,18.02491903
SO,Southern Company (The),66.27,-0.86761406,-0.58,買い,2891294,70168397773.94853,22.54247058,2.9696,27700,施設サービス事業,65.82437663,62.40367553
COF,Capital One Financial Corporation,157.26,-1.749344,-2.8,売り,3361459,70155848218.00717,6.45179312,25.132,51985,金融,166.60444381,138.52622837
CME,CME Group Inc.,195.3,-1.17397025,-2.32,強い売り,1061775,70139706462.61986,37.21325562,5.3631,4370,金融,201.73295732,201.06660482
EQNR,Equinor ASA,22.35,0.81190798,0.18,買い,1699757,69549810823.66086,,-0.2512,21245,エネルギー鉱物,21.1336512,19.61177902
PBR,Petroleo Brasileiro S.A.- Petrobras,10.45,-1.41509434,-0.15,売り,18773997,69475349553.15828,3.67376177,2.9316,49050,エネルギー鉱物,10.76609371,10.11193712
